Institution,Affiliation_Id,Green construction - general,Digital construction,Green construction materials
University of Stuttgard,60015815,1.14 (78),1.32 (90),1.53 (28)
Technical University Munich,60019722,1.64 (95),1.35 (193),0.88 (34)
Technical University Dresden,60018353,1.94 (66),1.16 (98),2.74 (47)
Technical University Darmstadt,60011226,1.43 (34),1.15 (38),0.82 (20)
Technical University Berlin,60011604,1.35 (83),1.44 (62),2.23 (20)
RWTH Aachen University,60016653,1.32 (129),1.55 (156),0.83 (66)
Karlsruhe Institute of Technology (KIT),60102538,2.28 (65),1.8 (92),1.51 (27)
Fraunhofer Society,60005811,1.13 (82),1.44 (146),0.7 (37)
University of Kassel,60018123,0.96 (21),1.71 (23),
University of Hannover,60004935,2.32 (21),1.23 (34),
Technical University Braunschweig,60007902,,0.89 (23),1.29 (29)
Ruhr University Bochum,60005322,2.14 (24),1.26 (81),
Leibniz Institute For Solid State and Materials Research,60007746,2.28 (41),,1.22 (26)
Helmholtz Association of German Research Centres,60015188,2.36 (34),,2.09 (21)
Bauhaus University Weimar,60028637,2.01 (21),1.79 (77),
Technical University Kaiserslautern,60009941,,0.48 (28),
Technical University Dortmund,60032991,0.75 (21),,
Stuttgart University of Applied Sciences,60005822,,0.99 (29),
Humboldt University,60000762,2.68 (24),,
Federal Institute for Materials Research and Testing (BAM),60072294,,,0.87 (20)
